line_name,block,location_file,location_sheet,location_range,formula_or_rule,source_type,method,current_status,owner_questions,owner_answer,final_rule
Результаты инвентаризации упаковки (кроме коробок для пиццы),инвентаризация / общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / iiko инвентаризации,Статьи!A25:J25; iiko storeOperations; контрольный пример /Users/grigorii/Downloads/15. отчет март.xlsx Лист1!A25:B47,Строка считается как сумма товарных строк инвентаризации упаковки за месяц по whitelist упаковочных товаров с сохранением знака,iiko Товары и склады -> Документы инвентаризации; GET /resto/api/reports/storeOperations,"первичный источник: GET /resto/api/reports/storeOperations с dateFrom/dateTo=dd.MM.yyyy, documentTypes=INCOMING_INVENTORY, productDetalization=true, showCostCorrections=false; product является GUID, название брать из /v2/entities/products/list; сумма = signed sum/cost по whitelist товаров; мартовский Excel - контрольная расшифровка A25:B47, не первичный источник",актуально как источник; iiko API проверен на марте 2026; ручной перенос; требуется whitelist товаров/проверка периода,,Владелец: результаты инвентаризации упаковки содержатся в файле /Users/grigorii/Downloads/15. отчет март.xlsx; строки 25-47 являются результатами инвентаризации упаковки и фиксируют состав номенклатур. Уточнение владельца 2026-05-19: для результатов инвентаризации упаковки данные берутся из раздела Инвентаризации.,"Строка Результаты инвентаризации упаковки (кроме коробок для пиццы) считается из iiko Товары и склады -> Документы инвентаризации: GET /reports/storeOperations с documentTypes=INCOMING_INVENTORY и productDetalization=true; соединить product GUID со справочником /v2/entities/products/list; суммировать signed sum/cost по whitelist упаковочных товаров с сохранением знака. Техническая проверка 2026-05-19: март 2026 вернул 615 товарных строк; документ упаковки 0012 от 02.03.2026 содержит 47 товарных строк. Мартовский Excel /Users/grigorii/Downloads/15. отчет март.xlsx, Лист1!A25:B47 является контрольным примером состава, включая ланч-боксы, коробка под фри, рог изобилия, коробка под бургер, пакеты для шаурмы, пакеты для заказа с ручками/без ручек, соусники, зубочистки, салфетки, палочки, бутылка 0.5, контейнеры, крышки, леденцы, зип-локи, дип-поты, холодные напитки, пакет майка спасибо за покупку. Если инвентаризация, справочник или whitelist не найдены, статус периода = требует проверки / источник не найден, не 0. Не смешивать с отдельной строкой Результаты инвентаризации коробки д/пиццы."
Вспомогательные товары(учет по факту оплаты),общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / iiko приходные накладные,Статьи!A26:J26; пример /Users/grigorii/Downloads/15. отчет март.xlsx Лист1!A3:B11,Строка считается как сумма item.sum по whitelist вспомогательных товаров из проведенных приходных накладных iiko за месяц,iiko приходные накладные,"GET /resto/api/documents/export/incomingInvoice с from/to=YYYY-MM-DD; брать только status=PROCESSED; item.product является GUID, название брать из /v2/entities/products/list; суммировать item.sum по whitelist товаров; мартовский контрольный пример A3:B11: перчатки, фольга, лента для датера, пищ.пленка, шпажки, ложки, вилки, пакет фасовка, пакеты для вакуматора",актуально как источник; iiko API проверен на марте 2026; требуется whitelist товаров/проверка периода,,"Владелец: для Вспомогательных товаров данные берутся из накладных. Мартовский Excel /Users/grigorii/Downloads/15. отчет март.xlsx используется как контрольная расшифровка состава, строки 3-11.","Строка Вспомогательные товары(учет по факту оплаты) считается из проведенных приходных накладных iiko: GET /documents/export/incomingInvoice с from/to=YYYY-MM-DD, status=PROCESSED; соединить item.product GUID со справочником /v2/entities/products/list; суммировать item.sum по whitelist конкретных iiko-товаров. Мартовский контрольный пример: перчатки 7426.16, фольга 2531.61, лента для датера 0, пищ.пленка 867.03, шпажки 379.70, ложки 47, вилки 305.50, пакет фасовка 0, пакеты для вакуматора 1658. Техническая проверка 2026-05-19: API за март вернул 528 item-строк; суммы совпали с Excel по всем перечисленным позициям, кроме широкого поиска по вакуумным пакетам, где нужен whitelist, потому что товар Пакет вакуум 160/200 на 694 не входит в Excel-сумму. Если накладные, справочник или whitelist не найдены, статус периода = требует проверки / источник не найден, не 0."
Зарплата администрации,ФОТ / административные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / Из Отчетов,Статьи!A27:O27; месячный лист строка 57; Из Отчетов!C11:N11; Зарплатная ведомость Свод!A11:O11,Месячный лист берет значение через LOOKUP по номеру месяца B1 из Из Отчетов строки 11 Зарплата администрации,Google Sheets Расчет зарплат NEW / Свод role-only export,"Для MVP P&L использовать итог ФОТ по ролям из Расчет зарплат NEW, лист Свод, диапазон C7:C13 и соседние месячные колонки. Не смешивать role-cut и type-cut в одной строке; type-cut оставлять drill-down внутри payroll.",requires_recalc в текущем pnl_2026: legacy/control payroll_monthly содержит смешанный role/type контур,,Владелец 2026-05-19: ФОТ автоматически попадает в ОПиУ из таблицы Зарплатная ведомость через IMPORTRANGE; на листе Из Отчетов есть информация об источниках. Владелец 2026-05-25: для MVP нужен итог ФОТ по ролям из Расчет зарплат NEW Свод!C7:C13; cross-tab роль x тип начисления не обязателен.,"P&L MVP берет additive role-only ФОТ из Расчет зарплат NEW Свод!C7:C13 и соседних месячных колонок. Не суммировать одновременно role-cut и type-cut, чтобы не получить двойной счет."
Коммунальные платежи Гагарина,административные / коммунальные,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A28:O28,"Историческая строка точки Гагарина; точка не работает с 2024, поэтому коммунальные платежи не рассчитываются как активная операционная статья 2026","исторический контур / Расчет, ДДС","не запрашивать активный расчет за 2026; если в источниках после 2024 есть платежи по Гагарина, выносить на проверку как исторический хвост или ошибку классификации",не используется; точка не работает с 2024,,Владелец 2026-05-19: Гагарина не работает с 2024.,"Строка остается в справочнике как историческая. Для P&L 2026 не считать коммунальные платежи Гагарина как действующую торговую точку; пустые ячейки не превращать в 0. Если обнаружены платежи по Гагарина после 2024, статус периода = требует проверки / исторический хвост."
Коммунальные платежи Черникова,административные / коммунальные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы,Статьи!A29:O29; месячный лист строка 59,"Сборная статья по платежкам от арендодателя: вода + газ + электричество; Telegram-бот распознает сумму, дату и тип платежа и кладет в structured storage",платежки арендодателя / Telegram OCR structured storage,"P&L берет месяц начисления из распознанной платежки в Telegram/OCR-хранилище; DDS берет cash-fact из банка/налички; если сумма не загружена в processed, статус source_not_loaded, не 0",актуально; источник подтвержден; требуется загрузка сумм в processed P&L,,"Владелец 2026-05-25: Telegram-бот уже распознает коммунальные платежки арендодателя, достает сумму, дату и тип платежа, кладет в спец-хранилище; оттуда данные идут в ОПиУ. DDS получает cash-fact из банка/налички.","Строка Коммунальные платежи Черникова считается по месяцу начисления из Telegram/OCR structured storage платежек арендодателя. Если платежка/компонент/месяц не загружены в processed, статус периода = source_not_loaded / требует проверки, не 0."
РКО,административные / банковские комиссии,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A30:O30,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная/соответствующая РКО",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка РКО берется из 2026 ДДС — Классический • ИП Шокина по одноименной/соответствующей статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Прочие банковские комиссии,административные / банковские комиссии,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A31:O31,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная Прочие банковские комиссии",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка Прочие банковские комиссии берется из 2026 ДДС — Классический • ИП Шокина по одноименной статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Услуги ФД и НК,административные,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A32:J32,Требует отдельного прохода,Акты в/р,финансовый директор и налоговый консультант,требует проверки,,,
Расходы на персонал,административные / персонал,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A33:J33,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная Расходы на персонал",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка Расходы на персонал берется из 2026 ДДС — Классический • ИП Шокина по одноименной статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Телекоммуникации,административные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / ручной ввод / фиксированные суммы,Статьи!A34:J34; Mango Office manual; iHC.ru; Микроэл,Mango Office ручной ввод владельца + iHC.ru сервер 600 руб./мес + интернет Микроэл 3 230 руб./мес,manual_form / фиксированные суммы,"Mango Office для MVP: ручной ввод владельца; подтверждено 2026-02 = 11 946,61, 2026-03 = 12 122,02, 2026-04 = 10 189,52; 2026-05 не закрыт, месяц не завершен. Добавить фиксированные компоненты: iHC.ru сервер кастомных программ 600 руб./мес; интернет Микроэл 3 230 руб./мес.",актуально; closed_manual; смешанная строка; Mango Office + фиксированные суммы,,Владелец 2026-05-25: для MVP закрываем Mango ручным вводом; автоматизация через ЛК/cookie остается backlog. Уточнение владельца 2026-05-19: сервер кастомных программ у провайдера iHC.ru стоит 600 руб. в месяц; интернет провайдер Микроэл стоит 3 230 руб. в месяц; обе суммы фиксированные.,"Строка Телекоммуникации считается как сумма трех компонентов: Mango Office manual_confirmed; iHC.ru сервер = 600 руб./мес; интернет Микроэл = 3 230 руб./мес. Если ручное значение Mango за закрытый месяц не получено, ставка фиксированных компонентов изменилась или месяц еще не закрыт, статус периода = требует проверки / источник не найден, не 0."
Поиск и найм персонала,административные / персонал,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A35:J35,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная Поиск и найм персонала",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка Поиск и найм персонала берется из 2026 ДДС — Классический • ИП Шокина по одноименной статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Комиссия агрегатору,коммерческие,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы,Статьи!A36:O36; строка Комиссия агрегатору,"Ручной ввод по данным, которые присылают менеджеры агрегатора К порогу",данные менеджеров агрегатора / ручной ввод,агрегатор называется К порогу; менеджеры агрегатора присылают сумму комиссии за месяц; значение вручную вносится в строку Комиссия агрегатору,актуально; ручной ввод; данные менеджеров агрегатора,,Владелец 2026-05-19: Комиссия агрегатору - это ручной ввод; его присылают менеджеры самого агрегатора. Агрегатор называется К порогу.,"Строка Комиссия агрегатору считается по сумме комиссии за месяц, которую присылают менеджеры агрегатора К порогу; в ОПиУ значение вносится вручную. Если данные менеджеров за месяц не получены, статус периода = требует проверки / источник не найден, не 0."
Таргетированная реклама,маркетинг,2026 ОПиУ • [ИП Шокина],Статьи / WorkMail,Статьи!A37:J37; WorkMail smmbux@yandex.ru,Источник подтвержден владельцем: таргетированная реклама собирается только из WorkMail по УПД ИП Билинский; ДДС/T-Bank только сверка оплаты,WorkMail; mail_document_senders.csv,использовать WorkMail smmbux@yandex.ru; отправитель/ящик на письме: ИП Билинский А.Р.; тема/заголовок: Документы для ИП Шокина Кристина Юрьевна от ИП Билинский Андрей Романович; брать сумму и период из УПД по абонентскому обслуживанию/продвижению и из отдельного УПД по рекламному бюджету; сверять оплату с ДДС/T-Bank по ИП Билинский,актуально; source confirmed; pending WorkMail UPD parse,,"Владелец 2026-05-22: таргетированная реклама — только WorkMail; актуальный источник для ОПиУ — УПД в письме Документы для ИП Шокина Кристина Юрьевна от ИП Билинский Андрей Романович, не письмо Отправка отчета.","Строка Таргетированная реклама собирается из WorkMail smmbux@yandex.ru: УПД ИП Билинский по абонентскому обслуживанию/продвижению сообщества и отдельному УПД по рекламному бюджету за период. ДДС/T-Bank не является первичным P&L-источником, а используется только как cash settlement / сверка оплаты. Если УПД еще не распарсен, статус периода = source_not_loaded/pending_parse; не задавать owner question заново и не подставлять 0."
Наружная реклама,маркетинг,2026 ОПиУ • [ИП Шокина],Статьи / ЭДО DocsInbox / СБИС,Статьи!A38:J38; СБИС/DocsInbox входящие документы,Источник подтвержден владельцем: документы по наружной рекламе поступают в ЭДО DocsInbox/СБИС; прежнее правило ДДС заменить первичным источником ЭДО,ЭДО СБИС / DocsInbox; API или выгрузка,"искать входящие документы/акты/счета в СБИС за месяц; по документам, относящимся к наружной рекламе, брать сумму документа/вложения; API-кандидат: СБИС.СписокДокументов или СБИС.СписокДокументовПоСобытиям, затем СБИС.ПрочитатьДокумент для вложений",требует проверки; источник ЭДО СБИС подтвержден,Нужны доступы/права API СБИС и маппинг контрагентов/типов документов на строку Наружная реклама.,"Владелец 2026-05-19: данные по наружной рекламе поступают в ЭДО DocsInbox, конкретно в СБИС. Нужно проверить возможность подключиться по API или выгружать данные, чтобы агент получал суммы для статьи.","Строка должна собираться из входящих документов ЭДО СБИС/DocsInbox за месяц по документам наружной рекламы. ДДС может быть сверкой, но первичный источник для этой строки - ЭДО. До настройки API/выгрузки и маппинга контрагентов статус периода = требует проверки / источник не найден, не 0."
Контекстная реклама,маркетинг,2026 ОПиУ • [ИП Шокина],Статьи / Mail.ru / Biz Panel / Счета,Статьи!A39:J39; Biz Panel node/59505,"Основной факт Яндекс Директ берется из Biz Panel Синапса, договор CNTX-212566, вкладка Яндекс, поле Бюджет; счета по договору дают абонентское обслуживание за месяц услуги и сверку размещения рекламных материалов",Mail.ru + Biz Panel + T-Bank сверка,найти письмо hello@biz-panel.com со свежей ссылкой входа; открыть Biz Panel -> договор CNTX-212566 -> Яндекс; URL https://biz-panel.com/node/59505/yandex?begin=YYYY-MM-DD&finish=YYYY-MM-DD; взять поле Бюджет за период; счета читать через вкладку Счета или download-invoice/{invoice_number}; из счета за месяц услуги взять сумму абонентского обслуживания; оплату сверять с T-Bank,актуально; источник найден; правило P&L подтверждено владельцем 2026-05-22,Вариант A подтвержден владельцем: Контекстная реклама = абонентское обслуживание Синапса из счета за месяц услуги + фактический Бюджет кампаний из Biz Panel. Абонентское обслуживание не константа; читать из счета каждого периода.,"Проверка 2026-05-22: апрель 2026 Biz Panel URL begin=2026-04-01 finish=2026-04-30; Бюджет 23984.77, показы 36276, клики 964, цена клика 24.88. Счет N 503711 от 16.03.2026: всего 38000, абонентское обслуживание 18000, размещение Яндекс.Директ 20000; T-Bank оплата 2026-03-26 ООО О. О 38000.","Строка Контекстная реклама = абонентское обслуживание Синапса из счета за месяц услуги + фактический Бюджет кампаний из Biz Panel за календарный период. Для апреля 2026: 18000 из счета N 503711 + 23984.77 = 41984.77. Для следующих месяцев 18000 не переносить как константу: сумму обслуживания брать из соответствующего счета. Размещение рекламных материалов из счета использовать как сверку платежа/пополнения, но не как замену фактического Бюджета; ДДС/T-Bank являются кассовой сверкой."
Печатные материалы НЕ ИСПОЛЬЗУЕМ!,коммерческие,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A40:J40,Строка помечена как НЕ ИСПОЛЬЗУЕМ; источник ДДС классический зафиксирован только как исторический справочник,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; строку не использовать в P&L без отдельного решения",не используется,,Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; строка ОПиУ сама помечена как НЕ ИСПОЛЬЗУЕМ.,"Строка не используется в P&L. Если потребуется историческая расшифровка, источник - 2026 ДДС — Классический • ИП Шокина, но перенос в P&L требует отдельного решения."
Листовки,маркетинг,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A41:J41,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная Листовки",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка Листовки берется из 2026 ДДС — Классический • ИП Шокина по одноименной статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
SEO - оптимизация,маркетинг,2026 ОПиУ • [ИП Шокина],Статьи / Mail.ru / T-Bank,Статьи!A42:J42; письма webmaster@insaitov.ru,Источник SEO - письма webmaster@insaitov.ru со счетами за SEO-продвижение сайта; месяц услуги берется из темы/содержания письма или счета; сумма и контрагент сверяются с T-Bank платежом ООО СИНАПСИС ИНН 3525357535,Mail.ru + T-Bank сверка,"найти письмо webmaster@insaitov.ru за счетный цикл; извлечь месяц услуги и номер счета из темы/ссылки/содержания; сверить T-Bank платеж на ООО СИНАПСИС по сумме, дате и назначению; ДДС использовать как кассовую сверку при необходимости",актуально как источник; сверять с T-Bank,"Если письмо/счет есть, но банковская сверка не найдена, период требует проверки. Если есть платеж без письма, не относить автоматически в P&L без документа периода услуги.","Проверка 2026-05-22: апрель 2026 письмо от 2026-03-16, тема Счёт за SEO-продвижение сайта от Синапс - апрель; T-Bank 2026-03-26, ООО СИНАПСИС, ИНН 3525357535, 13000, назначение Оплата по счету 503555 от 15.03.2026г. Май 2026 письмо от 2026-04-16, тема Счёт за SEO-продвижение сайта от Синапс - май; T-Bank 2026-04-27, счет N 506851, 13000.","Строка SEO - оптимизация собирается из письма webmaster@insaitov.ru за месяц услуги и сверяется с T-Bank платежом ООО СИНАПСИС. Месяц P&L определяется месяцем услуги в письме/счете, а не только датой оплаты. Если письмо, счет или банковская сверка отсутствуют, статус периода = требует проверки / источник не найден, не 0."
Прочие маркетинговые услуги,маркетинг,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A43:J43,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная Прочие маркетинговые услуги",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка Прочие маркетинговые услуги берется из 2026 ДДС — Классический • ИП Шокина по одноименной статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Сайт и приложение,маркетинг,2026 ОПиУ • [ИП Шокина],Статьи / ЭДО DocsInbox / СБИС,Статьи!A44:J44; СБИС/DocsInbox входящие документы,Источник подтвержден владельцем: документы по сайтам/приложениям поступают в ЭДО DocsInbox/СБИС; возможна автоматизация через API СБИС после настройки доступа и маппинга контрагентов,ЭДО СБИС / DocsInbox; API или выгрузка,"искать входящие документы/акты/счета в СБИС за месяц; по документам, относящимся к сайтам/приложениям, брать сумму документа/вложения; API-кандидат: СБИС.СписокДокументов или СБИС.СписокДокументовПоСобытиям, затем СБИС.ПрочитатьДокумент для вложений",требует проверки; источник ЭДО СБИС подтвержден,Нужны доступы/права API СБИС и маппинг контрагентов/типов документов на строку Сайт и приложение.,"Владелец 2026-05-19: данные по сайтам/приложениям поступают в ЭДО DocsInbox, конкретно в СБИС. Нужно проверить возможность подключиться по API или выгружать данные, чтобы агент получал суммы для статьи.","Строка должна собираться из входящих документов ЭДО СБИС/DocsInbox за месяц по документам сайта/приложения. До настройки API/выгрузки и маппинга контрагентов статус периода = требует проверки / источник не найден, не 0."
Прочие доходы,ниже EBITDA / доходы,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A45:O45,Требует отдельного прохода,пока отсутствуют,прочие доходы,требует проверки,,,
Прочие расходы,ниже EBITDA / расходы,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A46:O46,Требует отдельного прохода,пока отсутствуют,прочие расходы,требует проверки,,,
Проценты по кредитам,ниже EBITDA / кредиты,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A47:O47,Требует отдельного прохода,Учет ФД,только проценты без тела долга,требует проверки,,,
Налоги,ниже EBITDA / налоги,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A48:O48,"P&L/API accrual model: УСН 6% + 1% страховые взносы ИП начисляются ежемесячно ниже EBITDA как 7% от выручки без учета скидок, до комиссии партнерам; cash/payment отдельно",iiko revenue_without_discount / tax_accrual_model; WorkMail askad02 tax_payable separate,"Для закрытого месяца: Налоги ниже EBITDA = 7% * Выручка без учета скидок Черникова из iiko OLAP. Это расчетное начисление, не cash-факт. Cash-выплаты УСН 6%, 1% и налоговая задолженность ведутся отдельно через tax manual form / WorkMail askad02; если источник подтвержден, но не распарсен, статус source_not_loaded/pending_parse, не 0.",актуально как accrual/model; owner_correction_2026-05-25; WorkMail tax payable parsed seed #837; payment/period pending_parse,,"Последняя поправка владельца 2026-05-25: ставка 7% по строке Налоги ниже EBITDA - только расчетное начисление для P&L/API. Фактическая выплата 659 783 ₽ - только УСН 6%, не 7% и не вместе со страховыми взносами 1%. Tax payable/остаток закрывать отдельной сущностью по WorkMail askad02.","Строка Налоги ниже EBITDA в P&L = 7% accrual/model от выручки без скидок за месяц. Не использовать cash-платеж как начисление месяца и не дублировать tax payable в P&L. WorkMail #837: ЕНП 18 556,93 ₽ + травматизм 0,2% 78,95 ₽, due 2026-05-28, owner close deadline 2026-06-30; период/payment match pending_parse."
Комиссия за овердрафт,ниже EBITDA / кредиты,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A49:O49,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная Комиссия за овердрафт",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка Комиссия за овердрафт берется из 2026 ДДС — Классический • ИП Шокина по одноименной статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Амортизация,ниже EBITDA / амортизация,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A50:J50,Требует отдельного прохода,Учет ОС,амортизация основных средств,требует проверки,,,
Штрафы и пени,ниже EBITDA / штрафы,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A51:J51,Источник подтвержден владельцем для прямых ДДС-статей: брать соответствующую статью ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: одноименная Штрафы и пени",актуально как источник; ручной перенос; требует проверки периода,,"Владелец: для остальных статей ОПиУ с источником ДДС классический прописать источник 2026 ДДС — Классический • ИП Шокина; если в ДДС есть одноименная статья, брать ее.","Строка Штрафы и пени берется из 2026 ДДС — Классический • ИП Шокина по одноименной статье ДДС за месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Списание невостребованных депозитов,ниже EBITDA / доходы,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / Из Отчетов,Статьи!A52:J52; месячный лист строка 88; Из Отчетов!C17:N17; Зарплатная ведомость Свод!A17:O17,Источник подтвержден владельцем: строку можно подтягивать автоматически из Зарплатная ведомость -> Свод строка 17 через Из Отчетов; проверенный месячный лист пока не подключает строку через LOOKUP,Зарплатная ведомость через IMPORTRANGE; формула месячного листа не подключена,"ОПиУ Из Отчетов!A1 импортирует Зарплатная ведомость -> Свод A1:O20; Списание невостребованных депозитов находится в строке 17. Целевая формула может брать месяц через LOOKUP($B$1; Из Отчетов!C1:N1; Из Отчетов!C17:N17), но Google Sheets не менять без отдельного разрешения.",актуально как источник; формула не подключена,"Нужна отдельная команда, если владелец решит подключать формулу в месячных листах ОПиУ.",Владелец 2026-05-19: ФОТ автоматически попадает в ОПиУ из таблицы Зарплатная ведомость через IMPORTRANGE; на листе Из Отчетов есть информация об источниках. Уточнение владельца 2026-05-19: невостребованные депозиты можно подтянуть автоматическим способом.,"Строку можно считать из Зарплатная ведомость -> Свод строка 17 через Из Отчетов. До подключения формулы в месячных листах не считать пустоту или ручной 0 подтвержденным нулем; статус периода = требует проверки, если формула/месяц/источник не найдены."
Налоги с ЗП,общепроизводственные / ФОТ,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / ДДС / Из Отчетов,Статьи!A53:J53; месячный лист строка 49; ДДС статья Налоги с З/п; Из Отчетов!C18:N18 только вспомогательно,"Основной источник - ДДС статья Налоги с з/п + WorkMail tax-agent map; УСН 6%, 1% страховые взносы ИП и отдельные tax payable исключены из payroll taxes",ДДС классический; Зарплатная ведомость только вспомогательный контроль,"Брать чистую сумму payroll taxes из 2026 ДДС — Классический по статье Налоги с з/п и WorkMail askad02 tax-agent map; зарплатная ведомость только контроль. Если в ДДС-сумме сидит УСН/страховые взносы ИП/tax payable, период требует реклассификации и чистой суммы; статус source_not_loaded/pending_parse, не 0.",актуально как источник; 2026-04 source_not_loaded после исключения УСН cash и отдельного tax payable,,Владелец 2026-05-19: Налоги с ЗП собираются не только из зарплатной ведомости; ПФР и социальные выплаты работодателя за сотрудника в зарплатной ведомости не учитываются. Владелец 2026-05-25: фактическая выплата 659 783 ₽ - только УСН 6%; не относить ее в Налоги с ЗП и не считать суммой 7%.,"Строка Налоги с ЗП собирается из ДДС статьи Налоги с з/п и WorkMail tax-agent map; не включает УСН 6%, страховые взносы 1% ИП и tax payable из S48. Если чистой суммы payroll taxes нет, статус = source_not_loaded/pending_parse, не owner-question и не 0."
